slug,nama,jabatan,fraksi,dapil,perolehan_suara,komisi,badan_kerja,email,tempat_tgl_lahir,pendidikan,organisasi,lhkpn,,,,pekerjaan
elita-budiati-s-k-m,Elita Budiati S.K.M,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA BARAT IX,96498,Komisi I,Baleg,elita.budiati@dpr.go.id,"SUBANG, 28 December 1969","-; UNJANI, Ilmu Pemerintahan; 1976 - 1982 — SDN CILAMERI; 1982 - 1985 — SMP NEGERI 1 SUBANG; 1985 - 1988 — SPK DEPKES BANDUNG , KEBIDANAN; 1988 - 1990 — KEBIDANAN DEPKES, Kebidanan; 1990 - 2004 — URINDO IKM, Kesehatan Masyarakat",,,,,,"1989 - 2005 — DINAS KESEHATAN, Sebagai: BIDAN; 2005 - 2007 — KECAMATAN CIJAMBE, Sebagai: SEKMAT; 2007 - 2010 — KECAMATAN KALIJATI, Sebagai: CAMAT; 2010 - 2012 — BPMP, Sebagai: SEKRETARIS DINAS; 2012 - 2016 — BPMP, Sebagai: KEPALA DINAS; 2016 - 2016 — PEMDA KAB. SUBANG, Sebagai: STAF AHLI BUPATI; 2019 - 2024 — DPRD KAB.SUBANG, Sebagai: WAKIL KETUA; Penghargaan; 1992 — POKDES Terbaik, Bidan; 1994 — Bidan Teladan II Tk. Provinsi, Bidan; 1996 — Penghargaan Bupati Bidan Teladan Tk Kab, Subang , Bidan; 1996 — Penghargaan Gubernur Bidan Teladan Tk Nasional , Bidan; 2008 — Piagam Bupati Penghargaan Pembina Kelompok BKL Terbaik TK Kab. Subang , SEKMAT Kalijati; 2012 — Piagam Tanda Kehormatan Satyalancana Karya XX Tahun, Kepala BPMP KAB, SUBANG; 2013 — BPMP Terbaik Kab,Subang , Kepala; 2013 — BPMP Terbaik Kat Sedang ,; 2015 — Peserta Terbaik I Tk. Nasional Diklat PIM II LAN RI, Kepala; 2016 — Peserta Terbaik Diklat PIM Ke 3, Kepala; 2017 — Peserta Terbaik Diklat PIM Ke 4, Kepala"
galih-dimuntur-kartasasmita,Galih Dimuntur Kartasasmita,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA BARAT IX,91816,Komisi XI,BKSAP,galih.kartasasmita@dpr.go.id,"Jakarta, 25 December 1982","- 2008 — Newbury College, Brookline, Massachusetts, USA, Bsc, Business Management; 1989 - 1994 — SD Islam Al Azhar Pusat; 1994 - 1997 — SMP Islam Al Azhar Pusat; 1997 - 2000 — Lawrence Academy, Groton, Massachusetts, USA",,,,,,"2007 - 2010 — PT. Bakrie and Brothers, Tbk, Sebagai: Investment/Portofolio Manager; 2010 - 2016 — PT. Genesis Sumber Abadi, Sebagai: Direktur Keuangan; 2010 - 2011 — Kangaroo Resources Limited, Sebagai: Direktur Keuangan; 2014 - 2016 — PT. Mahagatra Karagenan Indonesia, Sebagai: Direktur Utama; 2016 - — PT. Matahari Hijau Energy, Sebagai: Direktur Utama; 2018 - — PT. Indo Digital Remit (Zendit), Sebagai: Komisaris; 2018 - 2022 — PT. Ancora Indonesia Resouces Tbk, Sebagai: Komisaris; 2019 - — PT. Indotan Halmahera Bangkit, Sebagai: Komisaris; 2019 - 2023 — PT. Christian Eka Pratama, Sebagai: Komisaris; 2020 - — PT. Nusa Halmahera Minerals, Sebagai: Wakil Presiden Direktur; Penghargaan; Tidak ada data"
agun-gunandjar,Agun Gunandjar ,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA BARAT X,216938,Komisi XIII,BAM,agun.sudarsa@dpr.go.id,"BANDUNG, 13 November 1958","1964 - 1970 — Negeri Rawa Kemiri; 1970 - 1973 — Negeri 66; 1973 - 1976 — STM 1 Budut; 1979 - 1982 — Akademi Ilmu Permasyarakatan (AKIP) Jakarta; 1989 - 1991 — STIA LAN, Jakarta, Administrasi; 2004 - 2006 — Panca Sarjana FISIP UI, Kriminologi; 2019 - 2023 — Program Doktor Terapan, Politeknik STIA LAN, Jakarta, Administrasi Pembangunan",,,,,,"1982 - 1996 — Pegawai Departemen Kehakiman, Sebagai: Staff; 1997 - 1999 — DPR RI, Sebagai: Anggota Komisi I; 1999 - 2004 — DPR RI , Sebagai: Anggota Komisi II; 2004 - 2009 — DPR RI , Sebagai: Anggota Komisi III; 2009 - 2014 — DPR RI, Sebagai: Anggota Komisi II; 2014 - 2019 — DPR RI, Sebagai: Anggota Komisi XI; 2019 - 2024 — DPR RI, Sebagai: Anggota Komisi XI; 2024 - 2029 — DPR RI , Sebagai: Anggota DPR/MPR RI; Penghargaan; 2012 — Penghargaan MPR RI Tim Kerja Sosialisasi , MPR RI; 2019 — Penghargaan DPP Partai Prestasi Pemilihan Umum , DPP Partai Golkar; 2019 — Inspiring Journey Teropong Parlemen Award, TeropongSenayan.com; 2020 — Positive News Maker Priangan Timur Anugerah TIMES Indonesia (ATI), TimesIndonesia.co.id; 2024 — Penghargaan Kategori Anugerah Lifetime Achievement, Radartasik.id"
ade-ginanjar,Ade Ginanjar,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA BARAT XI,216938,Komisi V,Bamus,ade.ginanjar@dpr.go.id,"Jakarta, 21 December 1972",1979 - 1985 — SDN Grogol Selatan 03; 1986 - 1988 — SMPN 1 Ciledug; 1989 - 1992 — SMAN 1 Bekasi; 1996 - 2000 — STIA LAN Bandung-RI,,,,,,"1997 - 2000 — PT. Nurkarya Bakti Pertiwi, Sebagai: Komisaris; 2000 - 2009 — PDAM Tirta Intan Kabupaten Garut, Sebagai: Officer; 2009 - 2014 — DPRD Kabupaten Garut, Sebagai: Wakil Ketua; 2014 - 2019 — DPRD Kabupaten Garut, Sebagai: Ketua; 2021 - 2024 — DPRD Provinsi Jawa Barat, Sebagai: Wakil Ketua; Penghargaan; 2011 — Penghargaan Bidang Pemimpin Kebijakan Pendidikan dan Perlindungan Anak,"
ferdiansyah,Ferdiansyah,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA BARAT XI,97464,Komisi X,Baleg,ferdiansyah@dpr.go.id,"JAKARTA, 24 August 1965","-; - 1977 — Negeri 02 Palmerah Pg; - 1981 — Negeri 111 Jakarta; - 1984 — Negeri 16; - 1989 — Univ. Krisnadwipayana, Ekonomi; - 1997 — Univ. Persada Indo. YAI, Magister Manajemen",,,,,,"1989 - 1992 — PT. Kresna Duta Satria Utama , Sebagai: Staff Personalia; 1992 - 1993 — PT. Indotropic Perdana , Sebagai: Staff Umum dan Personalia; 1993 - 1993 — PT. Decorindo Persada , Sebagai: Junior Manager Umum dan Personalia; 1994 - 1995 — PT. Bima Artika Citra , Sebagai: Staff Administrasi; 1995 - 1999 — PT. Bima Intankencana (Holding), Sebagai: Manager Personalia dan Umum; 1998 - 2000 — STMIK Muhammdiyah , Jakarta , Sebagai: Dosen; 1999 - 2004 — DPR RI , Sebagai: Anggota; 2004 - 2009 — DPR RI , Sebagai: Anggota; Penghargaan; Tidak ada data"
firnando-h-ganinduto,Firnando H Ganinduto,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH I,63881,Komisi VI,Baleg,firnando.ganinduto@dpr.go.id,"Jakarta, 16 April 1980","1985 - 1991 — SD Al Azhar Kemang; 1991 - 1994 — SMP Al Azhar Pejaten; 1994 - 1997 — Wesly College; 2002 - 2004 — Valley Force, Diploma; 2004 - 2006 — Berkelley College, Internasional Business",,,,,,"2006 - 2008 — DBS Bank, Sebagai: Relationship Manager; 2008 - 2012 — PT. Indika Energy Tbk., Sebagai: Business Development; 2012 - 2016 — PT. Sorikmas Mining, Sebagai: Senior Manager of Government Relations; 2016 - 2024 — PT. CFLD Indonesia, Sebagai: Vice President; Penghargaan; Military College Graduate,; Wide Indonesia Network,; 2007 — DBS Bank,; 2017 — CFLD Indonesia,"
andhika-satya-wasistho,Andhika Satya Wasistho,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH II,49333,Komisi VII,Baleg,andhika.wasistho@dpr.go.id,"Jakarta, 13 June 2000","2006 - 2012 — SD Avicenna Jagakarsa; 2012 - 2015 — SMP Islam Al Ikhlas Jakarta; 2015 - 2018 — SMA Al Azhar Kemang Syifa Budi, IPS; 2018 - 2023 — Universitas Diponegoro, Ekonomi dan Bisnis",,,,,,"2019 - — 9typical Coffee & Eatery, Sebagai: Owner; 2021 - — PT. Inersia Global Kreasindo, Sebagai: Direktur Utama; 2021 - — PT. Eisen Gelora Makmur, Sebagai: Komisaris; 2022 - — PT. Inersia Ampak Engineers, Sebagai: Komisaris; Penghargaan; Tidak ada data"
jamaludin-malik,Jamaludin Malik,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH II,118402,Komisi XIII,Baleg,jamaludin.malik@dpr.go.id,"Jepara, 01 May 1989","1995 - 2001 — MI Sabilul Ulum; 2001 - 2004 — MTs Sabilul Ulum; 2004 - 2007 — SMA Negeri 1 Pancangan; 2018 - 2024 — UNTAG Semarang, Hukum",,,,,,"2014 - 2016 — PT Prudential Life Assurance, Sebagai: Sales Agency; 2016 - 2023 — PT Prudential Life Assurance, Sebagai: Director Agency; 2023 - 2024 — PT Prudential Life Assurance, Sebagai: Finansial Planner; Penghargaan; Tidak ada data"
firman-soebagyo,Firman Soebagyo,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH III,96215,Komisi IV,Baleg,firman.subagyo@dpr.go.id,"Pati, 02 April 1953","1959 - 1965 — SR Negeri di batusari,kab.pati.jateng; 1965 - 1969 — SMP 1 Pati jateng; 1969 - 1972 — SMA Bopkri Kab. Pati, Sastra Sosial",,,,,,"-; , Sebagai:; 1983 - 1993 — PT. Manggala Group , Sebagai: Direktur; 1997 - 2019 — ANGGOTA MPR RI, Sebagai: ANGGOTA; 2009 - 2014 — ANGGOTA DPR RI, Sebagai: WAKIL KETUA KOMISI IV; 2014 - 2017 — Anggota DPR RI, Sebagai: Wakil Ketua baleg; 2018 - 2019 — Anggota DPR RI, Sebagai: ANGGOTA KOMISI II; Penghargaan; 2014; Coastal Award 2014, Kementerian Kelautan dan Perikanan; 2016 — Persatuan Wartawan Indonesia Jawa Tengah, Persatuan Wartawan Indonesia Jawa Tengah; 2017 — Persatuan Wartawan Indonesia Jawa Tengah, Persatuan Wartawan Indonesia Jawa Tengah; 2018 — Best Legislator Award, Persatuan Wartawan Indonesia Jawa Tengah; 2019 — Best Legislator Award, Persatuan Wartawan Indonesia Jawa Tengah"
juliyatmono,Juliyatmono,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH IV,97157,Komisi X,,juliyatmono@dpr.go.id,"Karanganyar, 29 July 1966",Tidak ada data,,,,,,Tidak ada data; Penghargaan
singgih-januratmoko,Singgih Januratmoko ,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH V,125067,Komisi VIII,Wakil Ketua Komisi ,singgih.januratmoko@dpr.go.id,"Sleman , 07 January 1976","1983 - 1989 — SDN Ungaran 3 Yogyakarta; 1989 - 1991 — SMP 5 Yogyakarta; 1991 - 1994 — SMA 4 Yogyakarta; 1994 - 1999 — UGM, Fak Kedokteran Hewan; 2013 - 2015 — Univ Pembangunan Nasional Veteran Yogyakarta, Magister Manajemen",,,,,,"2002 - — PT. Janu Putra, Sebagai: Pendiri dan Pemilik; 2014 - 2019 — DPR RI , Sebagai: Anggota Dewan; 2019 - 2024 — DPR RI, Sebagai: Anggota Dewan; Penghargaan; Tidak ada data"
panggah-susanto,Panggah Susanto,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH VI,91866,Komisi IV,Wakil Ketua Komisi,panggah.susanto@dpr.go.id,"Tamanggung, 19 October 1958","- 1970 — Negeri; - 1973; - 1976 — Negeri , IPA; - 1984 — ITB, Teknik Kimia; - 1997 — STIE IPWI, Manajemen",,,,,,"2010 - 2013 — Kementerian Perindustrian RI, Sebagai: Dirjen BIM; 2013 - 2018 — Kementerian Perindustrian RI, Sebagai: Dirjen Industri Agro; 2014 - 2015 — Kementerian Perindustrian RI, Sebagai: Plt. Dirjen IUBTT; Penghargaan; Tidak ada data"
bambang-soesatyo,Bambang Soesatyo,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH VII,80468,Komisi III,,bambang.soesatyo@dpr.go.id,"Jakarta, 10 September 1962","-; IM Newport Indonesia, Program MBA; 1978 - 1981 — SMA Negeri 14, Jakarta; 1985 - 1987 — Sekolah Tinggi Ekonomi Indonesia, Jakarta",,,,,,"1985 - — Harian Umum PRIORITAS, Sebagai: Wartawan; 1987 - — Majalah Vista , Sebagai: Sekretaris Redaktur; 1991 - — Majalah Info Bisnis, Sebagai: Pemimpin Redaksi; 1991 - 2013 — PT. Info Jaya Abadi, Sebagai: Direktur; 1999 - — PT. Suara Irama Indah, Sebagai: Komisaris; 2004 - — PT. Suara Rakyat Membangun (Suara Karya), Sebagai: Direktur; 2004 - — Harian Umum Suara Karya , Sebagai: Pemimpin Redaksi; 2006 - — PT. SIMA Tbk, Sebagai: Direktur; 2007 - — Kodeco Timber (HPH/HTI), Sebagai: Direktur; 2009 - 2014 — DPR RI, Komisi III dan Banggar, Sebagai: Anggota; Penghargaan; 1995 — Ardhi Karya Award ,; 1996 — Top Eksekutif Indonesia,; 2010 — PWI News Maker Award,; 2014 — The Best & The Next Legislator Award,"
teti-rohatiningsih,Teti Rohatiningsih,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH VIII,84800,Komisi IX,BURT,teti.rohatinigsih@dpr.go.id,"Cilacap, 15 August 1961",1968 - 1974 — SDN 6 CIMANGGU; 1974 - 1977 — SMP CIMANGGU; 1978 - 1981 — SMU MAJENANG; 2014 - 2017 — UNWIKU PURWOKERTO,,,,,,"2012 - 2019 — TATTO PAMUJI TOKO, Sebagai: STORE MANAGER; 2019 - 2024 — DPR RI, Sebagai: ANGGOTA DPR RI; Penghargaan; 2018 — BUNDA BACA, DINAS ARSIP DAN PERPUSDA; 2018 — TOKOH PKK TERBAIK JAWA TENGAH, IPWP AWARD"
agung-widyantoro,Agung Widyantoro,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH IX,93669,Komisi X,MKD,agung.widyantoro@dpr.go.id,"Brebes, 12 October 1963","1970 - 1976 — Negeri VI Brebes; 1976 - 1979 — Negeri 1 Brebes; 1979 - 1982 — Negeri 1 Brebes; 1982 - 1989 — UNSOED, Ilmu Hukum; 2003 - 2005 — UNSOED, Ilmu Administrasi Publik",,,,,,"1999 - 2004 — DPRD Kab.Brebes, Sebagai: Sekretaris Komisi A; 2003 - 2011 — PT. Sidorejo, Sebagai: Direktur Utama; 2004 - 2007 — DPRD Kab.Brebes, Sebagai: Anggota; 2007 - 2012 — Pemerintah Kab. Brebes, Sebagai: Wakil Bupati; 2010 - 2011 — PT.Setia Kawan Gas, Sebagai: Direktur Utama; 2011 - 2012 — Pemerintah Kab. Brebes, Sebagai: Bupati; Penghargaan; Tidak ada data"
ashraff-abu,Ashraff Abu,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH X,177436,Komisi X,,ashraff.abu@dpr.go.id,"VYLATHUR KERALA, 15 August 1968","1974 - 1980 — SEKOLAH KEBANGSAAN BATU 9; 1981 - 1984 — SEKOLAH BATU 9; 1984 - 1986 — SEKOLAH BATU 9, BAHASA INGGRIS – AHLI BAHASA",,,,,,Tidak ada data; Penghargaan
doni-akbar,Doni Akbar,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TENGAH X,154476,Komisi VI,Banggar,doni.akbar@dpr.go.id,"Palembang , 09 July 1982","1987 - 1993 — SDN 56 PALEMBANG; 1993 - 1996 — SMP N 1 PALEMBANG; 1996 - 1999 — SMU N 2 PALEMBANG; 1999 - 2996 — UNIVERSITAS TRISAKTI, EKONOMI AKUNTASI; 2019 - 2021 — UNIVERSITAS MUHAMMADIYAH PALEMBANG, MANAJEMEN",,,,,,"2012 - SKRG — PT RACHMAT KELANTAN SAKTI, Sebagai: KOMISARIS; 2012 - SKRG — PT.RIRE SANJAYA SAKTI, Sebagai: KOMISARIS; 2019 - 2024 — DPR RI, Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
h-m-gandung-pardiman,H.M. Gandung Pardiman,Anggota DPR RI 2024–2029,Partai Golongan Karya,DAERAH ISTIMEWA YOGYAKARTA,94777,Komisi VII,,gandung.pardiman@dpr.go.id,"BANTUL , 25 February 1953","- 1986 — IP VETERAN YOGYAKARTA IK, PGSLP; - 2001 — STIE MITRA INDONESIA, MAGISTER MANAJEMEN; 1961 - 1967 — SDN KARANGTENGAH; 1967 - 1970 — SMP N 1 IMOGIRI; 1970 - 1973 — SMA N 1 BANTUL",,,,,,"-; SMP I Ponjong , Gunung Kidul , Sebagai: Guru; SMP 2 Ponjong , Gunung Kidul , Sebagai: Guru; SMP IKIP Veteran Karangmojo , Gunung Kidul , Sebagai: Guru; SMP Kartika V Ponjong Gunung Kidul , Sebagai: Kepala Sekolah; SMA Pembangunan III , Ponjong , Gunung Kidul , Sebagai: Wakil Kepala Sekolah; IKP Veteran Yogyakarta, Sebagai: Dosen; CV. Agro Hura Buntania , Sebagai: Direktur; DPRD Provinsi Yogyakarta, Sebagai: Anggota; 2004 - 2009 — DPR RI , Sebagai: ANGGOTA; 2009 - 2014 — DPR RI, Sebagai: Anggota; 2014 - 2019 — DPR RI, Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
mukhamad-misbakhun,Mukhamad Misbakhun,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR II,98736,Komisi III,,misbakhun.a314@dpr.go.id,"Kota Pasuruan, 29 July 1970","1977 - 1983 — SDN 01 Bukit Pasuruan; 1983 - 1986 — SMPN 01 Pasuruan; 1986 - 1989 — SAM N 1 PASURUAN; 1999 - 2003 — UNIVERSITAS TRISAKTI, EKONOMI; 2008 - 2015 — UGM, HUKUM BISNIS",,,,,,"1990 - 2005 — Direktorat Jenderal Pajak, Sebagai: PNS; 2005 - 2009 — PT. Agar Sehat Makmur Lestari, Sebagai: Komisaris; 2014 - 2019 — DPR RI , Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
zulfikar-arse-sadikin,Zulfikar Arse Sadikin,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR III,118331,Komisi XI,Ketua Komisi,zulfikar.arifin@dpr.go.id,"Yogyakarta, 28 October 1975","1982 - 1988 — SDN KARANGWARU I; 1988 - 1991 — SMPN I TULUNGAGUNG; 1991 - 1994 — SMAN KAUMAN T.AGUNG; 1994 - 2003 — UNIVERSITAS GADJAH MADA , ILMU PEMERINTAHAN; 2004 - 2008 — UNIVERSITAS INDONESIA, ILMU POLITIK",,,,,,"2007 - 2012 — INSTITUTE FOR DEMOCRACY AND WALFARISM (IDW), Sebagai: DIREKTUR INSTITUTE FOR DEMOCRACY AND WALFARISM; 2008 - 2009 — PARTAI GOLKAR, Sebagai: MANAGER CAMPAIGN CALEG DPR RI TERPILIH JATIM VI; 2008 - 2008 — KEMENDAGRI, Sebagai: STAF SEKRETARIAT PPK DITJEN OMD KEMENDAGRI; 2010 - 2014 — DPR RI, Sebagai: TENAGA AHLI FRAKSI PARTAI GOLKAR; 2014 - 2019 — DPR RI , Sebagai: TENAGA AHLI FRAKSI PARTAI GOLKAR; 2019 - 2024 — DPR RI , Sebagai: Anggota DPR RI Dapil Jatim III; Penghargaan; Tidak ada data"
muhamad-nur-purnamasidi,Muhamad Nur Purnamasidi ,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR IV,69864,Komisi II,Wakil Ketua Komisi,muhamad.purnamasidi@dpr.go.id,"BEKASI, 03 September 1971",1978 - 1984 — SD PONDOK UNGU; 1984 - 1987 — SMPN 3 BEKASI; 1987 - 1990 — SMA.N TAMBUN; 1990 - 1995 — UNIVERSITAS JEMBER,,,,,,"2000 - 2009 — STAFF AHLI DPRRI, Sebagai: STAFF AHLI; 2009 - 2013 — STAF KHUSUS BPK RI, Sebagai: STAF KHUSUS; 2014 - 2019 — ANGGOTA DPR RI, Sebagai: ANGGOTA; Penghargaan; Tidak ada data"
ahmad-irawan,Ahmad Irawan,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR V,60471,Komisi X,Banggar,ahmad.irawan@dpr.go.id,"Toli-Toli, 26 October 1989","1996 - 2002 — SDN Sabang, -; 2002 - 2005 — SMP Negeri 1 Toli Toli, -; 2005 - 2008 — SMA Negeri 1 Toli Toli, IPA; 2008 - 2012 — UMM Malang, Ilmu Hukum; 2020 - 2024 — Universitas Gadjah Mada, Magister Ilmu Hukum",,,,,,"- - -; Ahmad Irawan & Associates, Sebagai: Managing Partner; 2017 - - — PT. Sentosa Prima Coal, Sebagai: Direktur Utama; Penghargaan; Tidak ada data"
m-sarmuji,M. Sarmuji,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR VI,183045,Komisi II,Baleg,muhammad.sarmuji@dpr.go.id,"Surabaya , 10 June 1974","1980 - 1986 — SDN MODOKAN AYU 270; 1986 - 1989 — SMP N 17 SURABAYA; 1989 - 1992 — SMA N 16 SURABAYA; 1992 - 2000 — UNIVERSITAS JEMBER, EKONOMI/ MANAJEMEN; 2003 - 2005 — UNIVERSITAS JEMBER, FISIP/ ILMU ADMINISTRASI",,,,,,"2002 - 2010 — PT HIMAIS OPTIMA, Sebagai: KONSULTAN; 2007 - 2014 — TENAGA AHLI FRAKSI PARTAI GOLKAR, Sebagai: ANGGOTA; 2008 - 2014 — PT. MANGGALA KARYA CIPTA, Sebagai: KOMISARIS; 2011 - 2014 — PT. ECO SEJAHTERA, Sebagai: KOMISARIS; Penghargaan; Tidak ada data"
heru-tjahjono,Heru Tjahjono,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR VI,90569,Komisi VI,Bamus,heru.tjahjono@dpr.go.id,"Yogyakarta, 06 March 1961","1967 - 1973 — SEKOLAH DASAR (SD) SANG TIMUR JAWA TIMUR , ILMU PENGETAHUAN ALAM; 1973 - 1976 — SEKOLAH MENENGAH UMUM TINGKAT PERTAMA (SMP) NEGERI 1 PASURUAN , ILMU PENGETAHUAN ALAM; 1976 - 1979 — SEKOLAH MENENGAH UMUM TINGKAT ATAS (SMA) NEGERI 1 SURABAYA, ILMU PENGETAHUAN ALAM; 1984 - 1988 — UNIVERSITAS SEBELAS MARET, TEKNIK SIPIL; 1997 - 1999 — UNIVERSITAS MERDEKA MALANG, MAGISTER MANAJEMEN; 2012 - 2014 — UNIVERSITAS BRAWIJAYA, KAJIAN LINGKUNGAN DAN PEMBANGUNAN",,,,,,"1889 - 1991 — BAPPEDA KABUPATEN TULUNGAGUNG, Sebagai: STAF; 1991 - 2001 — BAPPEDA KABUPATEN TULUNGAGUNG, Sebagai: KASI TATA GUNA TANAH RUANG; 1996 - 1996 — DINAS PEKERJA UMUM KABUPATEN TULUNGAGUNG, Sebagai: PLH. KEPALA DINAS; 1997 - 1997 — BAPPEDA KABUPATEN TULUNGAGUNG , Sebagai: PJ. KEPALA BIDANG FISIK DAN PRASARANA; 1997 - 1997 — DPUD KABUPATEN TULUNGAGUNG, Sebagai: PJ. KEPALA; 2001 - 2001 — DINAS PEKERJAAN UMUM PPW KABUPATEN TULUNGAGUNG, Sebagai: PJ. KEPALA SUB DINAS BINA PROGRAM; 2001 - 2003 — DINAS PEKERJA UMUM PPW KABUPATEN TULUNGAGUNG, Sebagai: KEPALA DINAS; 2003 - 2008 — KABUPATEN TULUNGAGUNG, Sebagai: BUPATI TULUNGAGUNG; 2008 - 2013 — KABUPATEN TULUNGAGUNG, Sebagai: BUPATI TULUNGAGUNG; 2013 - 2013 — SEKERTARIS DAERAH KABUPATEN NGANJUK , Sebagai: STAF PROTOKOL; 2013 - 2013 — BIRO UMUM SEKERTARIS DAERAH KABUPATEN NGANJUK, Sebagai: PNS; 2013 - 2014 — BIRO UMUM SEKERTARIS DAERAH PROVINSI JAWA TIMUR, Sebagai: STAF; 2014 - 2018 — DINAS KELAUTAN DAN PERIKANAN PROVINSI JAWA TIMUR, Sebagai: KEPALA DINAS; 2018 - 2022 — SEKERTARIS DAERAH PROVINSI JAWA TIMUR, Sebagai: SEKERTARIS DAERAH; Penghargaan; 2018 — SATYALENCANA KARYA SATYA XX DARI PRESIDEN RI,; 2022 — SATYALENCANA KARYA SATYA XXX DARI PRESIDEN RI,; 2022 — TAN HANA DHARMA MANGRBA KAPOLDA JAWA TIMUR ,"
ali-mufthi,Ali Mufthi,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR VII,76877,Komisi IX,BKSAP,ali.mufthi@dpr.go.id,"LAMONGAN, 17 October 1970","1980 - 1985 — MIM I; 1985 - 1989 — MTS NU; 1987 - 1990 — ALIYAH TEBUIRENG; 1990 - 1994 — INSTITUT AGAMA ISLAM NEGERI, TARBIYAH; 2011 - 2013 — UNIVERSITAS KADIRI, SOSIOLOGI; 2013 - 2017 — UNIVERSITAS MERDEKA MALANG, SOSIAL",,,,,,"2014 - 2019 — Anggota DPR/MPR RI/ Partai Golkar/FPG, Sebagai: Anggota; Penghargaan; Tidak ada data"
m-yahya-zaini,M. Yahya Zaini,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR VIII,110875,Komisi V,Banggar,yahya.zaini@dpr.go.id,"Gresik, 24 April 1964","1970 - 1976 — SDN TELUKJATI BAWEAN, GRESIK; 1976 - 1980 — SMP UMAR MASLUD BAWEAN, GRESIK; 1980 - 1983 — SMA UMAR MASLUD BAWEAN, GRESIK; 1983 - 1990 — UNIVERSITAS AIRLANGGA, HUKUM",,,,,,"1990 - 1992 — STAF KHUSUS MENPORA RI, Sebagai:; 1990 - 1995 — STAF KHUSUS MENPERA RI, Sebagai:; 1995 - 1997 — DIRUT PT.INTELEGENSIA GRAHA PRATAMA, Sebagai:; 1996 - 2019 — KOMUT PT.SAVINDO KARYA PERDANA, Sebagai:; 1997 - 1999 — ANGGOTA DPR RI, Sebagai:; 1999 - 2004 — ANGGOTA DPR RI, Sebagai:; 2004 - 2009 — ANGGOTA DPR RI, Sebagai:; 2010 - 2019 — KOMUT PT.JAYA ABADI SUKSES, Sebagai:; 2016 - 2019 — STAF KHUSUS KETUA DPR RI, Sebagai:; Penghargaan; Tidak ada data"
haeny-relawati-rini-widyastuti,Haeny Relawati Rini Widyastuti,Anggota DPR RI 2024–2029,Partai Golongan Karya,JAWA TIMUR IX,173444,Komisi IX,Wakil Ketua Komisi,haeny.widyastuti@dpr.go.id,"Tuban, 20 June 1964","1969 - 1975 — SDN Kebon Sari 4 Tabun; 1976 - 1979 — SMP Negeri Tuban; 1979 - 1982 — SMA Negeri Tuban dan SMA Negeri 1 Klaten; 1983 - 1993 — Universitas Gadjah Mada Yogyakarta, Ilmu Komunikasi; 1994 - 1996 — Universitas Gadjah Mada Yogyakarta, Ilmu Politik",,,,,,"1987 - 1992 — DPRD Kabupaten Tuban , Sebagai: Anggota; 1990 - 2001 — PT. Ariesta Tuban, Sebagai: Direktur; 1992 - 1999 — DPRD Kabupaten Tuban , Sebagai: Wakil Ketua; 1999 - 2001 — DPRD Kabupaten Tuban , Sebagai: Ketua; 2001 - 2011 — Pemkab Tuban , Sebagai: Bupati; 2001 - SKRG — CV. Sembilan - Sembilan , Sebagai: Direktur; 2001 - SKRG — PT. Sembilan - Sembilan Tuban Perdana, Sebagai: Direktur; 2001 - SKRG — PT. Ariesta Tuban, Sebagai: Komisaris; Penghargaan; Tidak ada data"
